(0,), 0.6681318681318681
(173, '1', '0'), 0.13725490196078433
(174, '0', '0'), 0.04
(174, '0', '1'), 0.05405405405405406
(174, '1', '0'), 0.11764705882352941
(174, '1', '1'), 0.0
(175, '0', '0'), 0.04914004914004914
(175, '0', '1'), 0.03571428571428571
(175, '1', '0'), 0.10526315789473684
(175, '1', '1'), 0.0
(176, '0', '0'), 0.06097560975609756
(176, '0', '1'), 0.13636363636363635
(176, '1', '0'), 0.1
(176, '1', '1'), 0.0
(177, '0', '0'), 0.02158273381294964
(177, '0', '1'), 0.0
(177, '1', '0'), 0.07142857142857142
(177, '1', '1'), 0.0
(178, '0', '0'), 0.01909307875894988
(178, '0', '1'), 0.0
(178, '1', '0'), 0.0
(179, '0', '0'), 0.02102803738317757
(179, '0', '1'), 0.0
(179, '1', '0'), 0.14285714285714285
(179, '1', '1'), 0.0
(18, '0'), 0.07674418604651163
(18, '1'), 0.12
(180, '0', '0'), 0.081145584725537
(180, '0', '1'), 0.038461538461538464
(180, '1', '0'), 0.1
(181, '0', '0'), 0.012345679012345678
(181, '0', '1'), 0.07142857142857142
(181, '1', '0'), 0.027777777777777776
(182, '0', '0'), 0.029339853300733496
(182, '0', '1'), 0.05128205128205128
(182, '1', '0'), 0.0
(183, '0', '0'), 0.055248618784530384
(183, '0', '1'), 0.0
(183, '1', '0'), 0.0
(184, '0', '0'), 0.03110047846889952
(184, '0', '1'), 0.11764705882352941
(184, '1', '0'), 0.05
(185, '0', '0'), 0.016355140186915886
(185, '0', '1'), 0.0
(185, '1', '0'), 0.0625
(186, '0', '0'), 0.02102803738317757
(186, '0', '1'), 0.0
(186, '1', '0'), 0.16666666666666666
(186, '1', '1'), 0.0
(187, '0', '0'), 0.011494252873563218
(187, '0', '1'), 0.1
(187, '1', '0'), 0.0
(187, '1', '1'), 0.0
(188, '0', '0'), 0.04156479217603912
(188, '0', '1'), 0.35
(188, '1', '0'), 0.2
(188, '1', '1'), 0.0
(189, '0', '0'), 0.007228915662650603
(189, '0', '1'), 0.125
(189, '1', '0'), 0.03225806451612903
(189, '1', '1'), 1.0
(19, '0'), 0.059665871121718374
(19, '1'), 0.25
(190, '0', '0'), 0.01411764705882353
(190, '0', '1'), 0.041666666666666664
(190, '1', '0'), 0.0
(191, '0', '0'), 0.047505938242280284
(191, '0', '1'), 0.1111111111111111
(191, '1', '0'), 0.14285714285714285
(192, '0'), 0.06402439024390244
(192, '1'), 0.08661417322834646
(193, '0', '0'), 0.020833333333333332
(193, '0', '1'), 0.07692307692307693
(193, '1', '0'), 0.03225806451612903
(193, '1', '1'), 0.0
(194, '0', '0'), 0.031862745098039214
(194, '0', '1'), 0.0
(194, '1', '0'), 0.09090909090909091
(194, '1', '1'), 0.0
(195, '0', '0'), 0.03155339805825243
(195, '0', '1'), 0.034482758620689655
(195, '1', '0'), 0.2727272727272727
(195, '1', '1'), 0.0
(196, '0', '0'), 0.06770833333333333
(196, '0', '1'), 0.2777777777777778
(196, '1', '0'), 0.1
(196, '1', '1'), 0.0
(197, '0', '0'), 0.017811704834605598
(197, '0', '1'), 0.0
(197, '1', '0'), 0.125
(197, '1', '1'), 0.0
(198, '0', '0'), 0.022004889975550123
(198, '0', '1'), 0.029411764705882353
(198, '1', '0'), 0.0
(198, '1', '1'), 0.0
(199, '0', '0'), 0.009828009828009828
(199, '0', '1'), 0.02631578947368421
(199, '1', '0'), 0.1
(2, '0'), 0.13725490196078433
(2, '1'), 0.3829787234042553
(20, '0'), 0.166270783847981
(20, '1'), 0.17647058823529413
(200, '0', '0'), 0.019138755980861243
(200, '0', '1'), 0.06451612903225806
(200, '1', '0'), 0.2
(200, '1', '1'), 0.0
(201, '0', '0'), 0.0069767441860465115
(201, '0', '1'), 0.07142857142857142
(201, '1', '0'), 0.1111111111111111
(201, '1', '1'), 0.0
(202, '0', '0'), 0.023148148148148147
(202, '0', '1'), 0.0
(202, '1', '0'), 0.0
(202, '1', '1'), 0.5
(203, '0', '0'), 0.013888888888888888
(203, '0', '1'), 0.0
(203, '1', '0'), 0.1
(203, '1', '1'), 0.0
(204, '0', '0'), 0.03508771929824561
(204, '0', '1'), 0.30612244897959184
(204, '1', '0'), 0.2
(204, '1', '1'), 0.0
(205, '0', '0'), 0.019656019656019656
(205, '0', '1'), 0.05555555555555555
(205, '1', '0'), 0.13333333333333333
(206, '0', '0'), 0.01182033096926714
(206, '0', '1'), 0.0
(206, '1', '0'), 0.16666666666666666
(206, '1', '1'), 0.0
(207, '0', '0'), 0.02107728337236534
(207, '0', '1'), 0.0
(207, '1', '0'), 0.4
(207, '1', '1'), 0.0
(208, '0', '0'), 0.02403846153846154
(208, '0', '1'), 0.03571428571428571
(208, '1', '0'), 0.1
(208, '1', '1'), 0.0
(209, '0', '0'), 0.016203703703703703
(209, '0', '1'), 0.0
(209, '1', '0'), 0.08333333333333333
(21, '0'), 0.05013192612137203
(21, '1'), 0.10526315789473684
(210, '0', '0'), 0.01366742596810934
(210, '0', '1'), 0.0
(210, '1', '0'), 0.125
(211, '0', '0'), 0.01141552511415525
(211, '0', '1'), 0.0
(211, '1', '0'), 0.2857142857142857
(212, '0', '0'), 0.043373493975903614
(212, '0', '1'), 0.3939393939393939
(212, '1', '0'), 0.25
(212, '1', '1'), 0.0
(213, '0', '0'), 0.01201923076923077
(213, '0', '1'), 0.0
(213, '1', '0'), 0.03125
(214, '0', '0'), 0.01834862385321101
(214, '0', '1'), 0.07692307692307693
(214, '1', '0'), 0.0
(214, '1', '1'), 0.0
(215, '0', '0'), 0.025821596244131457
(215, '0', '1'), 0.0
(215, '1', '0'), 0.2222222222222222
(216, '0', '0'), 0.0117096018735363
(216, '0', '1'), 0.0
(216, '1', '0'), 0.08333333333333333
(216, '1', '1'), 0.0
(217, '0', '0'), 0.03167420814479638
(217, '0', '1'), 0.0
(217, '1', '0'), 0.4
(217, '1', '1'), 1.0
(218, '0', '0'), 0.016355140186915886
(218, '0', '1'), 0.0
(218, '1', '0'), 0.11764705882352941
(219, '0', '0'), 0.0045351473922902496
(219, '0', '1'), 0.0
(219, '1', '0'), 0.25
(219, '1', '1'), 0.0
(22, '0'), 0.24766355140186916
(22, '1'), 0.2962962962962963
(220, '0', '0'), 0.018957345971563982
(220, '0', '1'), 0.4482758620689655
(220, '1', '0'), 1.0
(220, '1', '1'), 0.0
(221, '0', '0'), 0.00468384074941452
(221, '0', '1'), 0.0
(221, '1', '0'), 0.09090909090909091
(222, '0', '0'), 0.008988764044943821
(222, '0', '1'), 0.0
(222, '1', '0'), 0.0
(222, '1', '1'), 0.0
(223, '0', '0'), 0.02570093457943925
(223, '0', '1'), 0.043478260869565216
(223, '1', '0'), 0.3333333333333333
(223, '1', '1'), 0.0
(224, '0'), 0.3380614657210402
(224, '1'), 0.28125
(225, '0', '0'), 0.017006802721088437
(225, '0', '1'), 0.1111111111111111
(225, '1', '0'), 0.12751677852348994
(225, '1', '1'), 1.0
(226, '0', '0'), 0.04807692307692308
(226, '0', '1'), 0.0
(226, '1', '0'), 0.68
(226, '1', '1'), 0.3333333333333333
(227, '0', '0'), 0.15920398009950248
(227, '0', '1'), 0.13333333333333333
(227, '1', '0'), 0.3055555555555556
(227, '1', '1'), 0.5
(228, '0', '0'), 0.050595238095238096
(228, '0', '1'), 0.024390243902439025
(228, '1', '0'), 0.1038961038961039
(228, '1', '1'), 0.0
(229, '0', '0'), 0.05502392344497608
(229, '0', '1'), 0.0
(229, '1', '0'), 0.24
(229, '1', '1'), 0.0
(23, '0'), 0.08504398826979472
(23, '1'), 0.07017543859649122
(230, '0', '0'), 0.03365384615384615
(230, '0', '1'), 0.0
(230, '1', '0'), 0.4827586206896552
(231, '0', '0'), 0.040380047505938245
(231, '0', '1'), 0.16666666666666666
(231, '1', '0'), 0.42857142857142855
(232, '0', '0'), 0.04578313253012048
